Xingyi Zhou,2469478033
Kai-Yang Chiang,2129170864
Amol Nayate,2415638223
David Zuckerman,2169649541_https://scholar.google.com/citations?hl=en&user=MCe-I6wAAAAJ
Purnamrita Sarkar,2325341517
Jeonghun Park,2171577815
Robert Daniels,2100501129
Nuria Gonzalez-Prelcic,1517625209
Elaine Rich,2061072322
Boyang Zhang,2597280163
Lei Gao,2398761394
Michael Lee,2149941497
Murat Cubuktepe,2541405497
Björn Engquist,2948967966
Matthew Hanlon,2120115517
Xinchen Zhang,2112852467
Heather Hanson,2429325403
Tyler McDonnell,2554313356
Adnan Aziz,2139108221
Yingzhe Li,2311121693
Robert Boyer,2227656603
William Press,https://scholar.google.com/citations?hl=en&user=yi6DR64AAAAJ
Hovav Shacham,https://scholar.google.com/citations?hl=en&user=E0NwK2AAAAAJ
Kristen Grauman,https://scholar.google.com/citations?hl=en&user=Jp6Mz1sAAAAJ
Robert Moser,https://scholar.google.com/citations?hl=en&user=XVpLt1UAAAAJ
jstrother moore,https://scholar.google.com/citations?hl=en&user=91fyr68AAAAJ
M Dahlin,https://scholar.google.com/citations?hl=en&user=hdXvVdgAAAAJ
Karen Willcox,https://scholar.google.com/citations?hl=en&user=axvGyXoAAAAJ
Swarat Chaudhuri,https://scholar.google.com/citations?hl=en&user=9j6RBYQAAAAJ
Yong Lee,https://scholar.google.com/citations?hl=en&user=4GTpCxcAAAAJ
Warren Jr,https://scholar.google.com/citations?hl=en&user=D6fp6_cAAAAJ
Hsiang-Fu Yu,https://scholar.google.com/citations?hl=en&user=hfvjmbUAAAAJ
Joydeep Biswas,https://scholar.google.com/citations?hl=en&user=f28F1YUAAAAJ
Yi-Chao Chen,https://scholar.google.com/citations?hl=en&user=LdNIR90AAAAJ
Dhivya Arasappan,https://scholar.google.com/citations?hl=en&user=Ybk2XOEAAAAJ
James Martin,https://scholar.google.com/citations?hl=en&user=WKj8N7YAAAAJ
Gordon Novak,https://scholar.google.com/citations?hl=en&user=eHhHOD0AAAAJ
xiuming zhu,https://scholar.google.com/citations?hl=en&user=Zzfw9KEAAAAJ
Rafael Guerrero,https://scholar.google.com/citations?hl=en&user=2AeyauQAAAAJ
Dilin Wang,https://scholar.google.com/citations?hl=en&user=dmTy9EIAAAAJ
