Vladik Kreinovich,2423819275_https://scholar.google.com/citations?hl=en&user=iern2agAAAAJ
Brian Usevitch,2704301098
Panagis Moschopoulos,2209256816
Francisco Osuna,2575498019
Calvin Stewart,2424568337
Ivonne Lopez,2224587768
Sangjin Kim,2999612777
Humberto Mendoza,2710860026
Amy Wagler,1764491986
Bivas Das,2225360077
Chu-Young Kim,2136146489
Ismael Villanueva-Miranda,2901579292
M. Barua,2326617490
V. Granda,2697241375
Abdul Kader,2513648468
Belal Abdelfattah,2082339314
J.E. Gamez,2550066894
M. Tchoshanov,2978474010
C. Quintero,2394955192
V. Hierro,2744490240
Yi-Chieh Chang,2650887321
Avranil Tah,2228749074
Bin Zheng,2791165344
Javier Flores,2647872676
Michael Gonzales,2165259454
Yu Ding,2607823941
Hamide Dogan,2129597241
Shamsnaz Virani,2261958473
Kimberly Kato,2524546668
Felipe Silva,2893263564
Christian Ayub,2945599911
Ricardo Alvarez,2969909303
Vikram Kodimala,2086526250
Esau Ruiz,2747766006
F. Campos,2222302441
Carlos Ferregut,98532562
S. Dowlatshahi,2594884253
M. Nagaraj,2609726374
Luis Gutierrez,2164188355
Christian Hoyo,2228246995
Alfredo Gabaldon,2123764688
Art Duval,2141290263
Son-Young Yi,2581078451
Marianne Phinney,2633991838
Gerardo Muela,2565698076
Saideh Mortazavi,2964525692
Dan DeBlasio,https://scholar.google.com/citations?hl=en&user=3xE2SbUAAAAJ
Md Bhuiyan,https://scholar.google.com/citations?hl=en&user=5TTyToMAAAAJ
Sharmin Abdullah,https://scholar.google.com/citations?hl=en&user=5_Q7vEIAAAAJ
Raul Vargas-Acosta,https://scholar.google.com/citations?hl=en&user=wEym0F4AAAAJ
"Aryal, Bibek",https://scholar.google.com/citations?hl=en&user=CpCZaw0AAAAJ
