Xinning Gui,2684948799
Yimeng Dou,2139119743
Todd Jackson,2148464231
Jing Huang,2634567241
Yang Feng,2136272563
Thomas Debeauvais,277481160
Marcel-Catalin Rosu,2974322077
F. Etemadi,2517442927
Brian Skyrms,32455549
Hadar Ziv,2164821924
Franco Flaviis,141537231
Hossein Hondori,65868584
Anastasia Shuba,2572381405
Jun Guo,2528677213
Rabia Nuray-Turan,246940995
Xavier Carpent,668874
Ronen Vaisenberg,124754373
David Kay,2100657770
Yi Li,2422709764
Keita Fujii,2008580437
Miguel Sainz,2436072859
Yusuf Uddin,2464609586
Qi Chen,2157587517
Serhat Avci,2128178986
Amir AghaKouchak,2080039122
P.C.-Y. Sheu,2489803473
Vijay Vazirani,https://scholar.google.com/citations?hl=en&user=8eB7Q1kAAAAJ
Richard Lathrop,https://scholar.google.com/citations?hl=en&user=pHkx-pQAAAAJ
Jeff Krichmar,https://scholar.google.com/citations?hl=en&user=ErpbA8wAAAAJ
Peter Tseng,https://scholar.google.com/citations?hl=en&user=7SuEU00AAAAJ
De-Yu Chen,https://scholar.google.com/citations?hl=en&user=uuguQEUAAAAJ
zhi chen,https://scholar.google.com/citations?hl=en&user=jMFV0wcAAAAJ
Sky Faber,https://scholar.google.com/citations?hl=en&user=56BtNVYAAAAJ
JIE CHEN,https://scholar.google.com/citations?hl=en&user=ZOLUoqwAAAAJ
Jun-Wei Lin,https://scholar.google.com/citations?hl=en&user=cIEtAIkAAAAJ
Majid Shoushtari,https://scholar.google.com/citations?hl=en&user=xmqbTNoAAAAJ
Jianfeng Jia,https://scholar.google.com/citations?hl=en&user=JpN9_psAAAAJ
Zana Ghaderi,https://scholar.google.com/citations?hl=en&user=QXiIk38AAAAJ
Aftab Hussain,https://scholar.google.com/citations?hl=en&user=fQlfnOMAAAAJ
Kasra Moazzemi,https://scholar.google.com/citations?hl=en&user=_qW9Sp0AAAAJ
Norman Jacobson,https://scholar.google.com/citations?hl=en&user=PDaHwLQAAAAJ
Sergio Gago-Masague,https://scholar.google.com/citations?hl=en&user=-XxvGXsAAAAJ
Ahmed Abdelshafy,https://scholar.google.com/citations?hl=en&user=ywOIz94AAAAJ
Siddharth Gupta,https://scholar.google.com/citations?hl=en&user=B_2PPFgAAAAJ
Barada Acharya,https://scholar.google.com/citations?hl=en&user=ZMAP6b0AAAAJ
Hossein Tajik,https://scholar.google.com/citations?hl=en&user=7oJyWOoAAAAJ
Hamid Mirzaei,https://scholar.google.com/citations?hl=en&user=r-sHYKkAAAAJ
Reza Asadi,https://scholar.google.com/citations?hl=en&user=TZQi8OsAAAAJ
Saeed Mirzamohammadi,https://scholar.google.com/citations?hl=en&user=B3al0b4AAAAJ
Sina Shahhosseini,https://scholar.google.com/citations?hl=en&user=bbYivJ0AAAAJ
Khuong Vo,https://scholar.google.com/citations?hl=en&user=lmeFQFUAAAAJ
Shiva Jahangiri,https://scholar.google.com/citations?hl=en&user=HjxyPhwAAAAJ
Tatiana Bradley,https://scholar.google.com/citations?hl=en&user=vGwTG80AAAAJ
Emad Naeini,https://scholar.google.com/citations?hl=en&user=OqCDIAUAAAAJ
Ke Jing,https://scholar.google.com/citations?hl=en&user=sBdDSmcAAAAJ
Syed Quadri,https://scholar.google.com/citations?hl=en&user=_N5JJTgAAAAJ
Caio Melo,https://scholar.google.com/citations?hl=en&user=pE2GzhwAAAAJ
Mitra Behzadi,https://scholar.google.com/citations?hl=en&user=oIKWoSQAAAAJ
Kenneth Stewart,https://scholar.google.com/citations?hl=en&user=8zJjZBkAAAAJ
Mohammad Eletriby,https://scholar.google.com/citations?hl=en&user=eKf1X3MAAAAJ
Kolby Nottingham,https://scholar.google.com/citations?hl=en&user=2o3QdBAAAAAJ
Seyed Aqajari,https://scholar.google.com/citations?hl=en&user=6GlMZ0YAAAAJ
