Scott Leutenegger,2035235546_https://scholar.google.com/citations?hl=en&user=UDOTNC0AAAAJ
Robert Hannum,2660260692
Swanwa Liao,2232409999
Sharmistha Maitra,2974552248
Mohammed Qasim,2713475825
Kyoung-Dae Kim,2789904247
Suzanne Kerns,1583063400
Mohammed Alghanim,2967057954
Yixiao Dong,2971741343
Mark Leveling,3037244096
Keren Dali,3005799745
Daeshik Lee,2442138705
Seif Azghandi,2646501959
Corinne Lengsfeld,2028441036
Ali Al-bayati,2749785131
Mustafa Al-badri,2749852115
Zohreh Hossein,3010736501
Anh Hua,1983372229
Gregory Colati,2067308408
David Riche,2776409166
R. Prather,2688224998
L. Lin,2974239994
Andrew Miller,2436016451
R. Salters,2311962908
A. Hanifi,2524645461
Marshall Haith,2184632934
Michael Darschewski,2482628465
John White,2481632827
Donald McCubbrey,1688669571
Robert Granfield,2009634670
W. Cloud,2345304067
Guoping Liu,2715104761
D.A. Rawsthorne,1995183744
Robert Babb,2973573612
A.K. Ojha,2625683091
Wassan Hayale,2961921308
Rowena Swanson,2172224962
Kenneth Mahrer,1813140158
Bahaa Al‐Sheikh,2065657315
Zohreh Hosseini,2639846700
Nicole Joseph,2671678793
Marie Kroeger,2580833850
Abby Hodges,2954215685
D.P. Tracy,2572928677
I.R. Jones,2576880870
Thomas Nail,2026676444
Milind Rao,2638028652
Tabris Thomas,2927157132
Hailey Macrander,2927672399
Laura Atkinson,2933182409
You Xu,2935129690
Eva Wong,2601371118
Virginia Tschanz,2299715370
Daniel Melendez,2915763365
Rozhin Eskandarpour,2555264568
Casey Myers,2148026596
William Burton,2808931790
X. Chen,2653592603
Salah Althloothi,2054834611
Yin Yao,2898355281
Bruce Allen,2167906555
Pallab Paul,2118464956
Kristen Yu,2975441354
D. Gao,2971747310
Seana Hagerman,2171895199
Tosapon Pankumhang,2290595458
M O’Toole,2974333776
Clayton Smith,2530931378
Jill Smith,2119008449
Steven Hartley,2520951316
Cheri Young,2901965198
Paul Horn,2237917966
J. Smith,2974641749
Adam Purcilly,3000504884
Nicole Herzog,2174084166
Jeff Rutenbeck,2985833053
Ralph Roberts,2095916057
Jack Strauss,2105047371
Shahram Amini,2148631667
Petr Vojtĕchovský,2287248630
Shirla Giulieri,2516738753
Richard Ball,2152563485
Hamid Hanifi,2225104791
Adel Ashamiss,2231930414
Mahmoud Hussien,2279273293
Roger Salters,2974569922
Danielle Vasques,2921113460
Summer Shetenhelm,2921748503
Lamees Alhazzaa,2998152242
Jian Qiu,2799932200
Kirk Boyer,2888053916
Hao Chen,2903384874
Sadananda Narayanappa,2912094037
Tommi Johnsen,2292638496
Shannon Tharp,2957182465
R. Thurimella,2973632747
Yitong Shen,2757889979
Khodaei Amin,2819396196
Benini Alessandro,3018013678
Valavanis P,3019958776
Rutherford J,3020660685
Devesh Jinwala,2710658234
H.F. Jordan,2493352688
Donald Rose,2712673986
Jennifer Bowers,2129722468
A. Bauer,2231613296
Chen Reis,2577960118
S. Kenshil,2052242511
Mohamed Matin,2594748430
Barry Hughes,2093260877
Golshan M,3017474659
Nedrud Joshua,3017740543
Hebb O,3018351770
Niketeghad Soroush,3018578136
Mahoor H,3019439316
Hanrahan J,3019468657
Erin Elzi,2262933378
Bridget Arend,2032458128
John Kayser,2129154747
E. Sankar,2031703707
Mohammad Mavadati,https://scholar.google.com/citations?hl=en&user=qi1S9wMAAAAJ
Ahmed Ewees,https://scholar.google.com/citations?hl=en&user=Ex68j9QAAAAJ
Ali El-Baz,https://scholar.google.com/citations?hl=en&user=2cAHtrYAAAAJ
Shafique Chaudhry,https://scholar.google.com/citations?hl=en&user=pZi2fh0AAAAJ
Reda Elbarougy,https://scholar.google.com/citations?hl=en&user=krxVJ4UAAAAJ
abdelkader dekdouk,https://scholar.google.com/citations?hl=en&user=KwY3KCcAAAAJ
Hedi Haddad,https://scholar.google.com/citations?hl=en&user=ZSZ7vMQAAAAJ
Prof. Behery,https://scholar.google.com/citations?hl=en&user=WITlKHsAAAAJ
Zied Bouyahia,https://scholar.google.com/citations?hl=en&user=2Iez0GMAAAAJ
Ahmed Rabie,https://scholar.google.com/citations?hl=en&user=qrUsLLoAAAAJ
Tabook NM,https://scholar.google.com/citations?hl=en&user=S0WWyg8AAAAJ
Mona ElBedwehy,https://scholar.google.com/citations?hl=en&user=CGGe8ccAAAAJ
Dr. El-Hadidi),https://scholar.google.com/citations?hl=en&user=Q0li9pwAAAAJ
