Zhu Han,2116008403
Yongli Zhang,2402692030
Zhaolong Han,2161865172
Sheereen Majd,2325668125
Sunčica Čanić,170719767
Achal Prabhakar,2142022208
R. Murthy,2313999263
Yunsoo Choi,2599414024
Anando Sen,2106734017
Christine Ehlig-Economides,1949786521
C. Barrón,2022239550
Varun Varghese,2164427059
R.B. Loftin,2710617733
Ying-Wei Kuo,2680589827
Paul Cirino,2026597656
Melissa Romain,2118064692
Christie Peters,2238081356
Ali Memariani,2240212501_https://scholar.google.com/citations?hl=en&user=-TO7bBsAAAAJ
Beom-Chan Lee,2572975497
Daniel Lee,2576949358
Maria Bondesson,2035584043
Ji Qi,2165596991
Jingting Li,2620295698
E.G. Nobrega,2872362649
Tasha Womack,2771660012
Hao Wu,2299001092
David Zimmerman,2591135633
Ernst Leiss,44109355_https://scholar.google.com/citations?hl=en&user=_oaGlK0AAAAJ
Millad Ghane,2801119969
Mohammad Abidian,1751677509
Xiaolian Gao,2102526288
Qi Zhu,2661052638
Mohammad Poursaeidi,99363389
Thanh Le,2311183533
Michael Economides,2115017943
Lee Hilyer,1409271133
Stuart Long,2296814727
Z. Zhao,2547408714
Araly Barrera,2115072031
Juan Fernandez-Diaz,2132520524
Samuel Brown,2564348385
Elebeoba May,2338342455
Zheng Chen,2547583632
Furui Wang,2706459403
Qianmei Feng,2126958859
Dragan Mirkovic,2103251731
Navin Varadarajan,2217104401
Camille Artur,2774311515
Debing Wei,2767142031
Mario Rincon-Nigro,258156377
Qian Wang,2310748597
Houtan Faridi,2913829296
Kelsey Brett,2252694164
J.-F. Paris,https://scholar.google.com/citations?hl=en&user=xt0pmOoAAAAJ
Fatima Merchant,https://scholar.google.com/citations?hl=en&user=fUCDUOoAAAAJ
Kyeongan Kwon,https://scholar.google.com/citations?hl=en&user=cQan1qQAAAAJ
Nouhad Rizk,https://scholar.google.com/citations?hl=en&user=zz7F_BYAAAAJ
Christos Smailis,https://scholar.google.com/citations?hl=en&user=DQo37NEAAAAJ
charu hans,https://scholar.google.com/citations?hl=en&user=o9AsUG4AAAAJ
"Zou, Xingliang",https://scholar.google.com/citations?hl=en&user=Iho5I4QAAAAJ
Xin Liu,https://scholar.google.com/citations?hl=en&user=WnFrofkAAAAJ
Zechun Cao,https://scholar.google.com/citations?hl=en&user=dJ6UHn8AAAAJ
Matthew Pariyothorn,https://scholar.google.com/citations?hl=en&user=qDb4uBIAAAAJ
Jinxin Yang,https://scholar.google.com/citations?hl=en&user=6Lv9tToAAAAJ
Lei Shi,https://scholar.google.com/citations?hl=en&user=mbHPse8AAAAJ
Kaoji Xu,https://scholar.google.com/citations?hl=en&user=nx8PPRYAAAAJ
Amirreza Shirani,https://scholar.google.com/citations?hl=en&user=XIbx-mkAAAAJ
Behnaz Sanati,https://scholar.google.com/citations?hl=en&user=K7Qqq3EAAAAJ
Toan Nguyen,https://scholar.google.com/citations?hl=en&user=JfhAjXUAAAAJ
Lieyu Shi,https://scholar.google.com/citations?hl=en&user=LlnKBI8AAAAJ
Suyash Bakshi,https://scholar.google.com/citations?hl=en&user=ugMoFTwAAAAJ
Jose Velazco-Garcia,https://scholar.google.com/citations?hl=en&user=3mcf4tUAAAAJ
Behrang Mehrparvar,https://scholar.google.com/citations?hl=en&user=CO8EPlIAAAAJ
