Jesse Raffa,https://scholar.google.com/citations?hl=en&user=zh0v7EYAAAAJ
Robin Deits,https://scholar.google.com/citations?hl=en&user=-VjsrR4AAAAJ
john science,https://scholar.google.com/citations?hl=en&user=t0AgqgsAAAAJ
Suvi Linna-Kuosmanen,https://scholar.google.com/citations?hl=en&user=6uLu3tkAAAAJ
Marek Doniec,https://scholar.google.com/citations?hl=en&user=4QuRUy8AAAAJ
Jay Bardhan,https://scholar.google.com/citations?hl=en&user=issuF1cAAAAJ
Pat Marion,https://scholar.google.com/citations?hl=en&user=qX2I6KIAAAAJ
Ziqin Rong,https://scholar.google.com/citations?hl=en&user=Ghf3OJgAAAAJ
Jie Hu,https://scholar.google.com/citations?hl=en&user=eFti_HgAAAAJ
Brian Julian,https://scholar.google.com/citations?hl=en&user=9J0Oi4IAAAAJ
Umar Saif,https://scholar.google.com/citations?hl=en&user=HJh6JPYAAAAJ
Michael Cohen,https://scholar.google.com/citations?hl=en&user=t3kDJHQAAAAJ
Ruoshi Sun,https://scholar.google.com/citations?hl=en&user=SnJ0Pb8AAAAJ
Stephen Shum,https://scholar.google.com/citations?hl=en&user=7xEd0ZIAAAAJ
Woo-Cheol Kwon,https://scholar.google.com/citations?hl=en&user=VS8QB7gAAAAJ
David Harwath,https://scholar.google.com/citations?hl=en&user=C0kDOzcAAAAJ
Chanyeol Choi,https://scholar.google.com/citations?hl=en&user=rZJmV78AAAAJ
Chia-ying Lee,https://scholar.google.com/citations?hl=en&user=0IBt8msAAAAJ
Tao Schardl,https://scholar.google.com/citations?hl=en&user=XTakCM0AAAAJ
Eric Bersin,https://scholar.google.com/citations?hl=en&user=fOYbKPAAAAAJ
Kai Pan,https://scholar.google.com/citations?hl=en&user=RVOy6nwAAAAJ
Po Huang,https://scholar.google.com/citations?hl=en&user=3uZNStIAAAAJ
Michael Specter,https://scholar.google.com/citations?hl=en&user=lHmMK_4AAAAJ
Sha Huang,https://scholar.google.com/citations?hl=en&user=PE9vs_UAAAAJ
Ting-An Lin,https://scholar.google.com/citations?hl=en&user=Ri0wdWMAAAAJ
Sri Lolla,https://scholar.google.com/citations?hl=en&user=rEEhOnYAAAAJ
Wei-Hung Weng,https://scholar.google.com/citations?hl=en&user=CKE0A-AAAAAJ
Leonardo Peusner,https://scholar.google.com/citations?hl=en&user=F1kuexUAAAAJ
Joseph Finley,https://scholar.google.com/citations?hl=en&user=hP_1wfEAAAAJ
Alexander Amini,https://scholar.google.com/citations?hl=en&user=EWB-8-oAAAAJ
Ge Liu,https://scholar.google.com/citations?hl=en&user=P6EahzcAAAAJ
Afian Anwar,https://scholar.google.com/citations?hl=en&user=RvH5Vt8AAAAJ
Sameer Khurana,https://scholar.google.com/citations?hl=en&user=SvKKBy4AAAAJ
Spin Wang,https://scholar.google.com/citations?hl=en&user=O1Blz8gAAAAJ
Ahmad PhD,https://scholar.google.com/citations?hl=en&user=-CBoQlIAAAAJ
Ying Yin,https://scholar.google.com/citations?hl=en&user=8DGZPdUAAAAJ
Navid Abedzadeh,https://scholar.google.com/citations?hl=en&user=-EGnop4AAAAJ
Neil Thompson,https://scholar.google.com/citations?hl=en&user=yjttFw4AAAAJ
Marcio Santos,https://scholar.google.com/citations?hl=en&user=sgCR6M0AAAAJ
Joong Rhim,https://scholar.google.com/citations?hl=en&user=a_UAPiYAAAAJ
Brian Omwenga,https://scholar.google.com/citations?hl=en&user=9KNHOPQAAAAJ
Dr. Rawal,https://scholar.google.com/citations?hl=en&user=1F8KVfQAAAAJ
