Andrew Duchowski,26822819_https://scholar.google.com/citations?hl=en&user=xYK0xy4AAAAJ
Richard Pak,2166589734
R. Gangishetty,2352244931
Jeffrey Wysocarski,2304504752
J. Smith,2129569077
Lorraine Lin,2311499984
Jason Hallstrom,2924602698
Guthrie Cordone,2511348922
Aravind Shanthakumar,53517592
Kara Gundersen,2036574156
Dina Battisto,2155465018
Yawei Wei,2222268442
Afshin Famili,2398393735
Bo Wu,2251970232
Xingsi Zhong,2667134486
Reshmi Koikkara,2092416861
Biswajit Mazumder,2226787106
Ardalan Vahid,2543633695
Drea Fekety,2197259444
C. Zapf,2867236938
Chunlei Zhang,2810553180
Joseph Grant,2104349090
Marvin Andujar,2598224106
Vincent Blouin,1977726756
J. Luh,2643883419
Hoseinali Borhan,2303111683
B.T. Costic,2089614624
Paul Hyden,1972958575
Chiradeep Sen,2113499633
Sheila Backman,1967018875
Dan Du,2229447814
Danny Weathers,2030558932
Pramod Herath,2588198074
Laine Mears,2125875871
Joseph Scott,2168048714
G. Venayagamoorthy,2226257401
Thomas Grindinger,2068393911
Mizanur Rahman,2300800248
Stephanie Fishel-Brown,2035673948
Anirud Singh,2325840826
K. Muriki,2549018099
Johan Enslin,2305809042
Sally Mckee,2900962848
Hunter Murphy,2170184563
Phillip Napieralski,2070265579
Benton Kribbs,2484326378
Joseph Porter,2485894578
Tong Ye,2292027902
K.D. Underwood,2697043638
Tianwei Wang,2136015308
Calvin Sawyer,2115140826
J. Lawrence,2653663493
T. Howard,2700013585
Ayush Bhargava,2607395385
Ismail Farajpour,221745422
Dule Shu,2290777128
Phanindra Tallapragada,2287347754
Michael Juang,2126180064
Sruthy Agnisarman,2519402485
Aparna Ashok,2619301984
Himanshu Chaturvedi,2228181266
Ron Sass,2777322051
Ken Kennedy,2106078748
Abhiram Koneru,2052630559
Jun Luo,2302764364
Aaron Rosen,2526567936
Catherine McGough,2540952940
Dana Leonard,2227342700
Xinran Tao,2095831141
Zhizhong Pan,2251732603
Udit Agarwal,2713965099
Rui Wang,2714308332
Megan Fowler,2793963185
Christopher Beasley,2576707042
Jingxuan Sun,2601091217
James Witte,2476571807
Barry Keane,2129691720
Sandra Mitchell,https://scholar.google.com/citations?hl=en&user=QStDPcwAAAAJ
Pengfei Zou,https://scholar.google.com/citations?hl=en&user=ccwJsfsAAAAJ
Alexander Moffett,https://scholar.google.com/citations?hl=en&user=Pax6s-gAAAAJ
Matthew Hogan,https://scholar.google.com/citations?hl=en&user=Ctdn-GMAAAAJ
Nicodemus Mbwambo,https://scholar.google.com/citations?hl=en&user=qjVn4pAAAAAJ
Arwa Alsubhi,https://scholar.google.com/citations?hl=en&user=siLA34kAAAAJ
