Matthew Valenti,2116339457_https://scholar.google.com/citations?hl=en&user=3j0dkI4AAAAJ
P. Popic,2292096298
A. Sangle,2573340231
F. Li,3040023567
X. Wang,3040092798
Steven Atkinson,2302556158
Benjamin Buzzo,2888858764
Jennifer Nguyen,2888887980
Kamal Soomro,2144053131
Umasankar Kandaswamy,1561492087
Farzad Siyahjani,2220760773
Adam Brady,2118878485
Frederick Butler,2247683416
Bo Liu,2598241917
Pariya Pourmohammadi,3005240887
Tomi Prifti,2684263008
John Callahan,2190634545
Kimberly Floyd,2337472813
Uche Osahor,2946612592
Kennon Lattal,1686715001
Ehab Shoukry,2241597500
Samuel Taylor,2705879891
Steve Edwards,2974412814
Doru Pacurari,2307035412
David Baker,2307761197
M.E. Bachlechner,2973261796
Valeriy Gavrishchaka,2944286753
Marwan Alkhweldi,1585380818
Georgia Narsavage,2091292802
R. Perugupalli,2282711596
Amir Soleimani,2883944834
Jarilyn Jiménez,2600784909
Jon Beck,2183673436
Scott Galster,2941676335
Paul Holcomb,2105337083
George Spirou,2488099954
Michael Morehead,2515341997
Fernando Lima,2273730871
Marvin Cheng,2152588995
Sameer Mittal,2592424555
James Denton,2128799703
Richard Holsberry,2400944721
Conner Castle,2426654839
Jacob Hikes,2530289039
Gabrielle Hedrick,2888893593
Dylan Reynolds,2889198749
Phillip Green,2293317397
Larry Banta,2088581956
Scott Cottrell,2508668059
K. Srinivas,2141226800
R. Gottumukkala,2042458620
S. Chmiel,2230892322
L. Zhang,2322962497
Larry Rowe,2104181091
D. Gobbo,2021556058
Yorgi Gomez,2117681217
Seyed Niaki,2732933242
Sarvesh Makthal,2226365681
Sunil Mazimdar,2974539459
Bryan Lemon,2084147515
Susan El-Naggar,2397133851
Wade Huebsch,1716407253
Cesare Ciaccio,2113011252
Rachael Woldoff,2632026626
Christina Hebert,2305611473
Supratik Mukhopadhyay,2952078826
Qi Cheng,2499695661
Mark Koepke,2118448984
Timothy Carr,2322057500
Soujanya Vendra,2494003341
Samir Shah,2305193654
James Mooney,2143272074
Linda Blake,2219540205
Zhicheng Cao,2672876326
Patrick Browning,2158228579
Robert Craven,2430198643
Ana Dimitrijevikj,119230900
Eva Toth,2128351206
Tenny Webster,2141182123
Nikhil Tungala,2697144017
Vivian Guetler,2993977565
Rabie Belkacemi,2048265437
Elaine Bowen,2101204863
Priyadarshi Mahapatra,2104653542
Yue Jiang,2986436416
Sergiy Yakovenko,2302859754
Insu Hong,2303682425
Gregory Borah,2596179529
Gianfranco Piras,2635988447
Chihui Li,2708959598
Evan Delfino,2683575564
S. Ramagiri,2974279150
William Miernyk,2314221328
Keri Valentine,2597918538
B. Balan,2095953137
Zachary Williams,2772189180
J. Conley,2973379884
Keegan Guffey,2056151554
Sarah Burke-Spolaor,2809803011
Nanda Surendra,1588713249
Brandon Miller,2537542027
Xuan Wang,3021168351
Norman Ferrari,1988975203
Nourdin Al-sherif,2012553713
Zhenzhu Zheng,2225324021
Mohamad Jazaery,2569792633
K. Aminian,2115362120
Michael Perone,2227307092
Stuart Tewksbury,2084919359
Domenick Poster,2902503973
Allison Swan-Dagen,2552299527
R. Boddu,2548078587
S. Mukhopadhyay,2973770301
B. Cukic,2974205019
Bob Brown,2801770180
Hilary Fredette,491354960
Mridul Gautam,2139776997
Brian Woerner,https://scholar.google.com/citations?hl=en&user=uWm56soAAAAJ
Katerina Popstojanova,https://scholar.google.com/citations?hl=en&user=Zi5QsLYAAAAJ
Andres Escandon,https://scholar.google.com/citations?hl=en&user=BSSgp7UAAAAJ
