Ryan O'Donnell,2114293651_https://scholar.google.com/citations?hl=en&user=Z8U0BwcAAAAJ
Xin Liu,2648322701
Bryant Bryant,2719591975
Rohit Negi,2056879386
Herman Schmit,2082142326
Yuvraj Agarwal,2112448066_https://scholar.google.com/citations?hl=en&user=H4UeZ2MAAAAJ
Hao Zhang,2667793552
Daniel Munoz,2408559053
R. Ravi,2426131985
Ning Qu,2024395691
John Stamper,2471336940
Karl Crary,740883216
Edward Schwartz,2148833029
Rachata Ausavarungnirun,2126694903
Lorenz Biegler,2144738840
Brendan Meeder,1489662489
Alvaro Collet,2114746241
Kun Zhang,2151570909
Dayne Freitag,2144204887
Alonzo Kelly,2141261700
Felix Juefei-Xu,44738307
Jon Peha,67117640
Rohit Girdhar,2322504504
Ian Li,2115605558
Julie Downs,2162110961
Brian MacWhinney,854912369
Osman Yagan,14660048
David Abraham,2118293339
Jonathan Cagan,659339707
Ahren Studer,2080449748
John Dolan,2073870999
Hanxiao Liu,2167236151
Cameron Riviere,2020670466
James Cipar,2130378856
Seunghak Lee,2115333817
Allen Newell,2126658068
Naveen Srinivasan,2192381670
Fei Fang,2346526278
Nico Schlaefer,2018364524
Brian Gold,2108520257
Raj Reddy,2149385398_https://scholar.google.com/citations?hl=en&user=mYu2uuIAAAAJ
Yihui He,2980528185
Allan Fisher,2172121697
Marsha Lovett,1188074607
Peter Lee,2139030624
Russell Schwartz,https://scholar.google.com/citations?hl=en&user=6ArMETUAAAAJ
Daniel Sleator,https://scholar.google.com/citations?hl=en&user=gC6ap-EAAAAJ
Matthew Mason,https://scholar.google.com/citations?hl=en&user=D_JpQnAAAAAJ
David Touretzky,https://scholar.google.com/citations?hl=en&user=yjzqylcAAAAJ
Scott Fahlman,https://scholar.google.com/citations?hl=en&user=ecNmblAAAAAJ
William Scherlis,https://scholar.google.com/citations?hl=en&user=F6LzqwMAAAAJ
Tai Lee,https://scholar.google.com/citations?hl=en&user=9TAiIIMAAAAJ
Paris 1953-1995,https://scholar.google.com/citations?hl=en&user=QO5eCIIAAAAJ
Jian Ma,https://scholar.google.com/citations?hl=en&user=nDw9v78AAAAJ
James Morris,https://scholar.google.com/citations?hl=en&user=9Y2cn3EAAAAJ
Carl Kingsford,https://scholar.google.com/citations?hl=en&user=V_cvqKcAAAAJ
Bianca Schroeder,https://scholar.google.com/citations?hl=en&user=TW4Th98AAAAJ
Graham Neubig,https://scholar.google.com/citations?hl=en&user=wlosgkoAAAAJ
Steven Rudich,https://scholar.google.com/citations?hl=en&user=qLuAbhMAAAAJ
Marijn Heule,https://scholar.google.com/citations?hl=en&user=5Bu6aSMAAAAJ
Iliano Cervesato,https://scholar.google.com/citations?hl=en&user=NMI5aIUAAAAJ
Umut Acar,https://scholar.google.com/citations?hl=en&user=wJ4NywgAAAAJ
Hosein Mohimani,https://scholar.google.com/citations?hl=en&user=fN8qBDgAAAAJ
David McKeown,https://scholar.google.com/citations?hl=en&user=6MdiFdgAAAAJ
Zhu Xiaopeng,https://scholar.google.com/citations?hl=en&user=snqzhxgAAAAJ
Travis Breaux,https://scholar.google.com/citations?hl=en&user=SjiG_ZsAAAAJ
Eric Anderson,https://scholar.google.com/citations?hl=en&user=BBQJz8oAAAAJ
Christopher Langmead,https://scholar.google.com/citations?hl=en&user=Dj3gptkAAAAJ
Keenan Crane,https://scholar.google.com/citations?hl=en&user=Qs9FzFUAAAAJ
Geet Duggal,https://scholar.google.com/citations?hl=en&user=1APlUC8AAAAJ
Felipe Meneguzzi,https://scholar.google.com/citations?hl=en&user=uFEbojwAAAAJ
Wei Wu,https://scholar.google.com/citations?hl=en&user=IKoa5qAAAAAJ
Chinmay Kulkarni,https://scholar.google.com/citations?hl=en&user=ZDatV6MAAAAJ
Swapnil Patil,https://scholar.google.com/citations?hl=en&user=-AagjH8AAAAJ
Hazim المحيميدي,https://scholar.google.com/citations?hl=en&user=u-YSWVwAAAAJ
Jose Lugo-Martinez,https://scholar.google.com/citations?hl=en&user=7AusCiwAAAAJ
Stefan Mitsch,https://scholar.google.com/citations?hl=en&user=KbfRDmEAAAAJ
Michael Coblenz,https://scholar.google.com/citations?hl=en&user=sKuY6fIAAAAJ
Majd Sakr,https://scholar.google.com/citations?hl=en&user=R9sorZwAAAAJ
Jonathan Elsas,https://scholar.google.com/citations?hl=en&user=6PQHmUsAAAAJ
Hemank Lamba,https://scholar.google.com/citations?hl=en&user=nuW3M98AAAAJ
Ruonan Liu,https://scholar.google.com/citations?hl=en&user=SamyO9wAAAAJ
Julian Rojas,https://scholar.google.com/citations?hl=en&user=nvTKZS4AAAAJ
Eunsuk Kang,https://scholar.google.com/citations?hl=en&user=Pz0Nzr8AAAAJ
Gregory Wheeler,https://scholar.google.com/citations?hl=en&user=6t9iwbgAAAAJ
David Kurokawa,https://scholar.google.com/citations?hl=en&user=LfuSgb4AAAAJ
Yi Zhang,https://scholar.google.com/citations?hl=en&user=jcl4qT0AAAAJ
Tae Yano,https://scholar.google.com/citations?hl=en&user=NaEbv9EAAAAJ
Junjue Wang,https://scholar.google.com/citations?hl=en&user=X8YwFzIAAAAJ
Thierry Sans,https://scholar.google.com/citations?hl=en&user=39GUJSgAAAAJ
Jennifer Hyde,https://scholar.google.com/citations?hl=en&user=H2YBwOAAAAAJ
Ben Towne,https://scholar.google.com/citations?hl=en&user=B5qe05wAAAAJ
Ekaterina Taralova,https://scholar.google.com/citations?hl=en&user=AvNzw7IAAAAJ
João Martins,https://scholar.google.com/citations?hl=en&user=gOZWWncAAAAJ
Peter Chapman,https://scholar.google.com/citations?hl=en&user=KGnRKQYAAAAJ
