Chenguang Yu,2430747168
Mark Cartwright,2091341478
Chen Feng,2301012295
Phu Htut,2798078955
Jiangong Zhang,2250679424
Thomas Marzetta,2306342240
Jonathan Chao,2223283057
Ian Spiro,1984021167
Xuan Zheng,2634940079
Zhengdao Chen,2803990579
Qingqing Gan,2129925514
Bisakha Ray,2154976385
Christopher Collins,2123801932
Andrej Stefanov,2950024200
Tao Bian,2007468571
Kaijie Wu,2791398301
Jinru He,2104889062
Mohamed Massad,2294296222
Francis Williams,2903514244
Rajeev Kumar,2806060269
Yada Pruksachatkun,2922764414
Ruojie Sha,2106445429
Tao Zhang,2791482957
Chris Bregler,2062160795
Jeff Zhang,2404605782
Stanislav Sobolevsky,2024722252
Snir Snir,2636038613
Hossein Siadati,32803961
Sijia Deng,2224723193
Satwik Patnaik,3010329606
Adrian Tam,2055174154
Jeffrey Simonoff,136888070
Fabio Miranda,2561524438
S. Hosseini,2233614574
Roger Roess,2396224627
Riccardo Lattanzi,2061860370
Michael Paik,2132443210
Taemin Cho,2117072396
Hangsong Yan,2533701580
Davood Shahrjerdi,2236973666
Huiyu Sun,2500444378
Jelle Veraart,2175710015
Bhubaneswar Mishra,2130249704
Enrico Bertini,2942205534
Efstratios Gavas,2226287871
Anshul Pandey,2151643378
Liina Pylkkänen,2090944767
Vinayaka Jyothi,2089129711
Jason Phang,2891256592
Toan Nguyen,2478066771
Marcel Campen,2110758369
Werner Doyle,2158319624
Adeen Flinker,1975429482
Leslie Greengard,https://scholar.google.com/citations?hl=en&user=lW-MnjMAAAAJ
Tamar Schlick,https://scholar.google.com/citations?hl=en&user=sM1D6eUAAAAJ
Michael Shelley,https://scholar.google.com/citations?hl=en&user=Sa2AIxQAAAAJ
Michael Overton,https://scholar.google.com/citations?hl=en&user=q6LXYtUAAAAJ
Zheng Zhang,https://scholar.google.com/citations?hl=en&user=k0KiE4wAAAAJ
Rachel Greenstadt,https://scholar.google.com/citations?hl=en&user=FsbND-sAAAAJ
Azza Abouzied,https://scholar.google.com/citations?hl=en&user=RkddXygAAAAJ
Anirudh Sivaraman,https://scholar.google.com/citations?hl=en&user=z9em5msAAAAJ
Noah Youngs,https://scholar.google.com/citations?hl=en&user=tamfR6gAAAAJ
Jay Chen,https://scholar.google.com/citations?hl=en&user=JWHaRbIAAAAJ
Jiwei Zhang,https://scholar.google.com/citations?hl=en&user=8yZhQ7kAAAAJ
Alfredo Canziani,https://scholar.google.com/citations?hl=en&user=dU5bJOMAAAAJ
Nian Xue,https://scholar.google.com/citations?hl=en&user=bcHsUeQAAAAJ
Haldun Hadimioglu,https://scholar.google.com/citations?hl=en&user=NlsWYe4AAAAJ
Gus Xia,https://scholar.google.com/citations?hl=en&user=h8-nXFcAAAAJ
Mai Oudah,https://scholar.google.com/citations?hl=en&user=PUDnxbMAAAAJ
Crystal Butler,https://scholar.google.com/citations?hl=en&user=hejYup4AAAAJ
