Benyuan Liu,2167774889_https://scholar.google.com/citations?hl=en&user=s2n1-HMAAAAJ
Troy Lundstrom,2162713107
J. Mulligan,2671614416
James Canning,2040543490
Cheng Zhang,2967143728
Marc Picart,2652473677
Dalton Curtin,3036487305
Joshua Rodriguez,3036573166
Ali Ahmed,2620603715
S. Ruthmann,2281766769
B. Reilly,2716755991
Chukpozohn Toe,2997331625
Mathew Barlow,2299268933
Chetan Gopal,2327777015
Yen-Fu Luo,2522716985
Murat Inalpolat,2128607504
Mehmet Guney,2689888882
Iliana Voynichka,2223272813
Karen Lin,2309419798
V. Kunnil,378814440
C. Liessner,2063200373
J. Palma,2165964061
Nathan Gartner,141923060
Lee Jones,2273343535
Vikram Malayia,228167280
Morteza Salehjahromi,2747952808
Miko Wilford,2251637271
Prabhu Govindaswamy,2525402385
Elaheh Noursadeghi,2534690372
Ning Zhong,2520772944
Chenxi Zhang,2970379738
M.J. Micire,2973625686
H.A. Yanco,2974168193
Jason Dickinson,2154437250
Thomas Goyette,2308674524
William Mass,2487861334
Xizhe Wang,3005914124
Andrew Gatesman,2149951081
O. Habbouli,2622826445
Pradeep Kurup,2167624937
C. Granz,2708914157
Mohamed Talaat,2992981611
Jie Wang,2704483915_https://scholar.google.com/citations?hl=en&user=SdGhcVcAAAAJ
Michelle Foran,2318270468
Ashley Tello,2338148121
Rishi Vangapalli,2340015201
Kaitlyn Hurd,2340517136
Jian Lu,2589770452
Robert Erbacher,2894313236
Haim Mendelson,2798591800
Chakib Alaoui,2799296642
Christopher Munroe,2344213320
Joseph Stubblefield,2768619098
Thomas Sloan,2070925163
Charles Byrne,2130417666
Philip Kovac,2558442711
Lisa Dangora,1065699451
Alkim Akyurtlu,214227258
Craig Slatin,2038302916
Wayne Sanborn,2152176144
Cheryl West,2226933464
Beverly Volicer,2328290268
Alessandro Sabato,2564043190
David Lewis,2168770633
F.C. Lin,2141103269
C. Lister,2652686549
Sha Sha,2401421731
Zhuangrong Huang,2535621157
Zhao Wang,2895002861
Yu Cao,2885579641_https://scholar.google.com/citations?hl=en&user=97RDUygAAAAJ
Shweta Purushe,10726887
Hani Al-Dayaa,1988526633
Jonathan Spohn,2786847192
Kate Tsui,2917798745
Bahareh Haji-saeed,2830847560
Artem Vesnin,2224709922
Khondkar Karim,2114998219
Thomas Calloway,2584858849
John Fertitta,2096434745
Christopher Corcoran,2502362541
Michael McGuiness,2672725081
Olubukola Isijola-Adakeja,2281860155
Theodore Grosch,2423130876
Kemal Kulovic,1534114129
Dylan Fyler,2134573551
Nurettin Tan,2228221281
Timothy Miskell,2496153126
Sebastin Kolman,2153376963
Charles Thompson,2134453259
Amelia McHugh,2465265997
Julie Chen,2178725468
Dana Pyburn,2006915167
Sandip Sengupta,2111292918
Shaun Morrissey,2227992117
Zhenlin Wu,2951403729
Mary Smrtic,1969427435
April Pattavina,2113390689
Huong Pham,2223638347
Kareem Abu-Zahra,1995456346
Renato Casipe,2222801555
Jason M'Sadoques,2227590965
C. Keskin,2024379765
Dr. Levkowitz,https://scholar.google.com/citations?hl=en&user=FY4afxkAAAAJ
XIAN PAN,https://scholar.google.com/citations?hl=en&user=Z9XUX14AAAAJ
JONATHAN MWAURA,https://scholar.google.com/citations?hl=en&user=PTUbd7AAAAAJ
Zhao Han,https://scholar.google.com/citations?hl=en&user=QHVdvtUAAAAJ
Jason Kiesling,https://scholar.google.com/citations?hl=en&user=NaOudToAAAAJ
