Andrew Campbell,2126914009_https://scholar.google.com/citations?hl=en&user=rthco5oAAAAJ
Ambrose Granizo-Mackenzie,2224423228
Michael Cox,2512619876
Valerie Jacobs,2099049374
Nadia Penrod,1968673445
Sari Khaleel,2148764478
Douglas Hill,2147877246
Nihal D'Cunha,2028388013
John Danskin,262861612
Rich MacDonald,2186267037
Alexander Iliev,2130821906
Brock Christensen,2098827417
Rong Zhang,2636194426
Neil Epstein,2312771422
Haipeng Chen,2965210341
Parisa Jalalkamali,1738841781
Mark Moran,2131212172
Ivan Aprahamian,266457880
Jared Harris,2883440698
Zachary Marois,2223181846
Emma Smithayer,2228147862
Spencer Topel,2665913197
Massimiliano Pala,2153457218
Jason Gunn,2101712971
Ranganath Kondapally,2488891106
Jonathan Winter,2108612657
Solomon Diamond,2122964462
Julian Bangert,2090068583
Vibhor Bhatt,2089950223
Patrick Proctor,2653930026
D.J. Burroughs,2974381100
Rongxiao Zhang,2132254837
Annarita Giani,2973274065
John Sigman,2009782332
Harold Sox,2616711460
S.P. Linder,2106812159
Inas Khayal,2607295347
Stefan Boesen,2226045686
Karen Lunn,2108410902
Carol Ringelberg,138087130
Fred Kolling,3005902578
Howard Hughes,2129451110
Keum Kim,2302659320
R.J. Graves,2981531950
Sunil Singh,2110661278
Edward Childs,2130859078
William Kelley,2096964220
B. Barrowes,2196257635
Harold Swartz,1875079516
Ryan Speers,2288528219
Eric Din,2345806372
Fei Yu,2479996445
Richard Granger,2349202020
Dorothy Wallace,2476874855
Haider Syed,2152110239
Robert Denz,2559179283
Carl Renshaw,2893299180
Garfield Mellema,2225809370
G. Cybenko,2973909164
G. Jiang,2988637901
K. Kain,2722087420
Valerie Hanson,2097925736
Tao Wang,2698191434
Shengjie Bi,2722171589
C. Stien,2231766945
Anne Gelb,2066723983
Travis Todd,2745034767
Patrick LaChance,2959829505
Geeta Chaudhry,2166466168
Delaney Granizo-Mackenzie,11980275
Greg Ogrinc,1918985959
Louise Davies,2336774546
Chris Masone,2304317457
VS Subrahmanian,https://scholar.google.com/citations?hl=en&user=PLt9wB8AAAAJ
Robert Drysdale,https://scholar.google.com/citations?hl=en&user=mn1QyYgAAAAJ
Kang Gu,https://scholar.google.com/citations?hl=en&user=jpp1hMoAAAAJ
Joseph Dexter,https://scholar.google.com/citations?hl=en&user=KV6Ls9AAAAAJ
Brent Kesler,https://scholar.google.com/citations?hl=en&user=hFfm-YQAAAAJ
Yinan Zhang,https://scholar.google.com/citations?hl=en&user=5T-5bH0AAAAJ
Yuan Tian,https://scholar.google.com/citations?hl=en&user=ckFgNAoAAAAJ
Prantar Ghosh,https://scholar.google.com/citations?hl=en&user=pftZKqoAAAAJ
Sayanton Dibbo,https://scholar.google.com/citations?hl=en&user=NSQiQFAAAAAJ
Charles Carver,https://scholar.google.com/citations?hl=en&user=oKhvorYAAAAJ
Ruibo Liu,https://scholar.google.com/citations?hl=en&user=5lgfeo4AAAAJ
