John Stankovic,2030977062_https://scholar.google.com/citations?hl=en&user=4VJre9IAAAAJ
T.S. Barger,2223281786
N. Barker,2103624202
Li Yan,2307600740
Xinfei Guo,2800138843
Dimitrios Diochnos,2002254806
Kenneth Lichtendahl,574632154
Rick Jones,2106078566
Ridwan Alam,2668595570
Mable Kinzie,2232384715
A. Thomas,2974513285
R.H. Klenke,2973255369
Frederick Epstein,2032302750
Pouyan Bassirian,2758295343
Barry Condron,1986205052
K.C. Reichert,2686697838
W.N. Martin,2973888778
Nishit Tewari,2125789837
Stuart Wooters,2230411798
Jing Yang,2417454467
Y.P. Chen,2619625351
J. George,3034498660
Ameer Mohammed,2294368588
Gregory Lewin,2605923354
Benjamin Kreuter,2064311825
Joe Garofalo,2109863088
Shize Su,2170465963
Sang-Min Park,2160644333
Dharmesh Parikh,2126190357
Steven Hauser,2120587692
In Kim,2116172871
Jeffrey Crandall,2136273564
Avinash Kalyanaraman,1968251859
Nicola Bezzo,10172559
Anita Jones,2267498387
Ji Gao,2254231816_https://scholar.google.com/citations?hl=en&user=zcNplSgAAAAJ
Casey White,2586756223
Jae Lee,2308968605
George Williams,2767573769
Ammar Hassan,2647006338
Hang Zhang,2308756616
Daniel Weller,1914484253
Samuel Lindsey,2232162828
Benjamin Cox,2636377030
Lu Feng,2309186191_https://scholar.google.com/citations?hl=en&user=HiyMQzEAAAAJ
Adam Ferrari,2399281376
E. McShane,2101909552
Sanjana Mendu,2890544811
David Koller,2162899512
Patricia Gonzalez,2606453939
Raymond Dawson,2974784182
Michael Marley,2489413220
Ben Hallen,2223962531
Eric Hall,2126133988
Chieh-Yih Wan,2952669723
X. Wang,2498332310
Eric Humenay,18030828
Jennifer Lobo,2141830384
Ronghua Zhang,2299081670
Stan Majewski,2669444742
Sihang Liu,2562475668
William Hawkins,2407269509
Colleen Hughes-Karvetski,2035085294
Liliya Besaleva,2228208621
Zhihua Tang,2332250866
Steven Boker,231338265
Peter Troyan,2346036231
Yan Zhang,2608849751
Przemyslaw Porebski,2077675322
Samuel Fielden,2086962758
Paul Allaire,2070459723
K. White,2157080358
William Walker,2140451880
Ashish Venkat,2160600829_https://scholar.google.com/citations?hl=en&user=wbhUDnIAAAAJ
Nishant George,2109712354
Haifeng Xu,2945053019
Jundong Li,2149809093
John Mugler,1994163877
Chong Tang,2708114627
Steven Moyer,2258189393
Ifat Emi,2230676649
Rituparna Sarkar,2286091311
Jim Self,2099036423
S. Velusamy,2674621806
Paul Humphreys,2118735768
Raymond Pettit,2421784834_https://scholar.google.com/citations?hl=en&user=v9O0mDoAAAAJ
Walter Heinecke,1496622499
Travis Emmitt,2224980197
Kevin Prey,2228833652
Fatih Hamzaoglu,2949593916
Qian Sang,2152802313
T. Guess,2273503708
Xiaoyu Wang,2721488395
Sebastian Elbaum,https://scholar.google.com/citations?hl=en&user=swPW5FYAAAAJ
Christopher Barrett,https://scholar.google.com/citations?hl=en&user=wuKMx_kAAAAJ
Yangfeng Ji,https://scholar.google.com/citations?hl=en&user=pg02-e8AAAAJ
Chuanhao Li,https://scholar.google.com/citations?hl=en&user=w2ShljkAAAAJ
Arkaitz Alvarez,https://scholar.google.com/citations?hl=en&user=o53kFHIAAAAJ
Thomas Horton,https://scholar.google.com/citations?hl=en&user=Ixa74FIAAAAJ
Beilun Wang,https://scholar.google.com/citations?hl=en&user=PoHiv9wAAAAJ
Haoyu Wang,https://scholar.google.com/citations?hl=en&user=xBaIhq4AAAAJ
Lu Lin,https://scholar.google.com/citations?hl=en&user=8N04pBgAAAAJ
Tanmoy Sen,https://scholar.google.com/citations?hl=en&user=DzsGeLgAAAAJ
Nan Wang,https://scholar.google.com/citations?hl=en&user=m16Q6wUAAAAJ
Ashwin Raghav,https://scholar.google.com/citations?hl=en&user=t7Rm9bEAAAAJ
Dane Williamson,https://scholar.google.com/citations?hl=en&user=CIJsx4UAAAAJ
Jacob Dineen,https://scholar.google.com/citations?hl=en&user=WKurvcoAAAAJ
Farzana Siddique,https://scholar.google.com/citations?hl=en&user=oQiVn10AAAAJ
