Hongjing Lu,2113246774
Alessandro Achille,2556566300
Joshua Kovitz,1961639279
Han Yan,2594305237
Steve VanDeBogart,914404890
Eric Sobel,2091754035
Jason Speyer,2248756900
Zengwen Yuan,2231920700_https://scholar.google.com/citations?hl=en&user=u42HjrwAAAAJ
Beayna Grigorian,326128941_https://scholar.google.com/citations?hl=en&user=_b7AIisAAAAJ
J.Y.-C. Chang,2592186492
George Varghese,https://scholar.google.com/citations?hl=en&user=rnR3JrYAAAAJ
Jingsheng Cong,https://scholar.google.com/citations?hl=en&user=UVGe0gQAAAAJ
song-chun zhu,https://scholar.google.com/citations?hl=en&user=Al8dyb4AAAAJ
Stefano Soatto,https://scholar.google.com/citations?hl=en&user=lH1PdF8AAAAJ
Milos Science,https://scholar.google.com/citations?hl=en&user=92mdADUAAAAJ
MY Sanadidi,https://scholar.google.com/citations?hl=en&user=Cn_qV5AAAAAJ
Guoqing Xu,https://scholar.google.com/citations?hl=en&user=DS6rCasAAAAJ
Alexander Sherstov,https://scholar.google.com/citations?hl=en&user=JinbAIQAAAAJ
Lorenzo Gomez,https://scholar.google.com/citations?hl=en&user=-5RXo-IAAAAJ
Ricky Sethi,https://scholar.google.com/citations?hl=en&user=TwvsWQQAAAAJ
Jie Wang,https://scholar.google.com/citations?hl=en&user=Z0ChYXIAAAAJ
Jean Ryoo,https://scholar.google.com/citations?hl=en&user=rBagnPgAAAAJ
Yitao Liang,https://scholar.google.com/citations?hl=en&user=k2RheI8AAAAJ
Young-kyu Choi,https://scholar.google.com/citations?hl=en&user=yaIlPicAAAAJ
Bo Yuan,https://scholar.google.com/citations?hl=en&user=yKLI9A4AAAAJ
Mevlut Garip,https://scholar.google.com/citations?hl=en&user=60c0aWMAAAAJ
Tajendra Singh,https://scholar.google.com/citations?hl=en&user=uQfbx8wAAAAJ
Baoxiong Jia,https://scholar.google.com/citations?hl=en&user=qIBUK6sAAAAJ
Seungbae Kim,https://scholar.google.com/citations?hl=en&user=gFZlotAAAAAJ
Tong He,https://scholar.google.com/citations?hl=en&user=v6o-fksAAAAJ
Anahita Hosseini,https://scholar.google.com/citations?hl=en&user=tE7DVtEAAAAJ
Ali Hatamizadeh,https://scholar.google.com/citations?hl=en&user=6uFIBKYAAAAJ
Hangxin Liu,https://scholar.google.com/citations?hl=en&user=1D5tDu0AAAAJ
Tianxiang Li,https://scholar.google.com/citations?hl=en&user=By2hP8oAAAAJ
ZHAOWEI TAN,https://scholar.google.com/citations?hl=en&user=7NC41JMAAAAJ
Albert Zhao,https://scholar.google.com/citations?hl=en&user=tjI54N0AAAAJ
Nathan LaPierre,https://scholar.google.com/citations?hl=en&user=EVMceKUAAAAJ
Yue Wu,https://scholar.google.com/citations?hl=en&user=kSQ1mLYAAAAJ
Weikun Han,https://scholar.google.com/citations?hl=en&user=MOfRj_YAAAAJ
Prithviraj Patil,https://scholar.google.com/citations?hl=en&user=l94Lx9QAAAAJ
Arman Yousefi,https://scholar.google.com/citations?hl=en&user=6z7POhwAAAAJ
Pasha Khosravi,https://scholar.google.com/citations?hl=en&user=0zkqL2cAAAAJ
Anji Liu,https://scholar.google.com/citations?hl=en&user=k_4zYecAAAAJ
Roxana Hadad,https://scholar.google.com/citations?hl=en&user=NKRzJi0AAAAJ
Karan Sanwal,https://scholar.google.com/citations?hl=en&user=Ad5j3o0AAAAJ
Kang Chen,https://scholar.google.com/citations?hl=en&user=v2iJEd8AAAAJ
Hadley Black,https://scholar.google.com/citations?hl=en&user=hR31sa4AAAAJ
Honglin Zheng,https://scholar.google.com/citations?hl=en&user=BToPFZUAAAAJ
TAO MENG,https://scholar.google.com/citations?hl=en&user=Tg_EwqsAAAAJ
Ajithkumar Sreekumar,https://scholar.google.com/citations?hl=en&user=0YfuMl0AAAAJ
Weitong ZHANG,https://scholar.google.com/citations?hl=en&user=Ec6bzmcAAAAJ
Vanna Bushong,https://scholar.google.com/citations?hl=en&user=uoxPnR8AAAAJ
