Zhiqiang Gao,2636837050_https://scholar.google.com/citations?hl=en&user=3Vqkg-EAAAAJ
Mahmoud Hamandi,3023331170
Radhika Kotina,1224749673
Pavankumar Malaghan,2252610145
Kathryn Ebel,2346743718
David Lodwick,2336160821
Behruz Fardanesh,2807315830
Jason Edwards,2183374872
Manning Philip,2927544110
S. Moosavi,2735573390
Linda Garceau,2075535314
Jeffrey Dean,2949082574
Sathish Kumar,3036724220
Rebecca Grasser,2306584386
Akshata Datar,2092997277
Michael Horvath,2107680406
Steven Given,2404012199
Yao Hong,2766245023
O.I. Tukel,2973396588
W. Rom,2974046903
G. Ozsoyoglu,2680816603
W. Smari,2683292298
"Zarei, Zarei",2517681662
De Zolezzi,2741874289
Pranav Joshi,2612687121
Z.J. Liu,2433703596
F. Renovich,2690652110
Amit Ghosh,2569608655
Petru Fodor,2136491481
Namita Shetty,2134719201
Hironmoy Paul,2156174626
E. Loovis,1242778429
D.R. Bheemidi,2549630780
Hua Chai,2688770336
L. Milic,2601269647
Howard Pu,2671445291
Sara Natera,2672979253
Thomas Spirka,2033456230
Joseph Svestka,2556632105
Richard Kolk,2434802584
Jeremy Pettinato,2345463419
Louis Milic,2600220423
Joshua Bagaka,2211295652
Leanna Ergin,2745462965
Erivelton Santos,2900748001
Al Degennaro,2551875206
D. Kantamneni,1572446690
S. Schwartz,2315184030
Haosen Zhang,2308363704
S.S. Halliburton,2426522481
Ronald Abate,1963667179
Neethu Philip,2096395175
A.V. Stankovic,2170918040
Shuang Wu,2652526236
Xiao Zhao,2773218322
S. Misra,2640193098
Sean Kennedy,2548724831
J.D. Schoeffler,2973549919
Sreedhar Madhavaram,2007121485
Richard Wiersba,2689676459
Yuezeng Shen,2166456345
Candice Hoke,2403908921
Thomas Ryan,2498415422
S. Kosanam,3015305632
Saikrishna Gumudavally,2298828701
Obinna Nwanna,2344658781
A.K. Chatterjee,2303033164
V.K. Konangi,2973480232
Amin Ghorbanpour,2900495031
Ovad Mansur,1818719820
Gary Walker,2486320650
Chien-Hua Lin,2247803004
Shu-Chuan Chao,2287642670
Brahm Powell,2752221942
Samuel Richmond,2486271521
Anusree Mandali,2899727431
Louis Tychonievich,2297713936
Christen Ford,3040638107
Alexander Pesch,2309713138
Patricia Baszuk,2999298383
Lori Amy,2669873659
Mohan Ramalingam,2522015579
P.P. Chul,2574319216
B. Frantz,2650799014
Alican Sahinkaya,2885024107
Santosh Misra,2238729321
Anne Berry,3022354540
Catherine Hansman,736196573
Suarez Caraballo,2616847285
Seyed Moosavi,2753683073
Jui-chin Jiang,2117702255
Dapeng Ye,2974727555
Caglar Ozturk,2517534905
Prudhvi Sreeramoju,2508628795
Chaitanya Nerella,2510399752
Harsha Saranu,2514317014
Sean Yu,2562043096
John Turner,2099896825
Bhaumil Patel,2313040397
Sreekar Karna,2420749643
Gayathri Ramesh,2619343621
Thomas Heines,2973947791
