Qi Tian,2901442558_https://scholar.google.com/citations?hl=en&user=61b6eYkAAAAJ
Phani Sagiraju,2090230907
Mevlut Demir,2807894076
Musaddaqul Hasib,2797430074
Lourdes Rios,2112999234
Sara Ahmed,2124189423
Mario Gonzalez,2444226486
Jeff Reich,2226865139
Raj Boppana,2229251725
Josh Zachry,2232276183
Todd Wolff,2428073265
Seyed Miraftabzadeh,2514019049
Serkan Dursun,2056283058
Yufang Yin,2100732664
R.C. Whaley,2638696510
P. Patel,2973595264
C. Parikh,2973613837
Ridwan Noel,2755770694
P. Cotae,2974494810
Chelsea Hicks,2509339388
Cong Zhao,2582211684
Isaac Corley,2796554139_https://scholar.google.com/citations?hl=en&user=Xw0xO3UAAAAJ
M. Taherkhorsandi,2443183290
Sadia Quader,2306620832
J.P. Blair,2975406220
Mohammad Khatibi,2715474505
Sean Soderman,2783329096
Erdal Akin,2600696403
Hebin Cherian,2891322327
S.A. D'Souza,2476754616
O. Caglayan,2974453193
Zhen Gao,2597650910
James Collins,2263033259
Yong Yan,2644183467
Juah Song,2885427902
T. Shaneyfelt,2050750138
Nisha Vinayaga-Sureshkanth,2763744649
Hamidreza Moradi,2602513293
Nasim Talebi,2651829223
Ali Zamani,2563221031
P. Madduri,2225658610
C. Loader,2672696469
Maryam Niknamfar,2005027235
Monica Madhukar,2076728374
Ephrem Fernandez,2137168505
Jim Massaro,2558860210
Karthikpai Haradi,2527714161
Seyed Miratabzadeh,2529305607
Raphael Costa,2245565979
Timothy Parker,2164575827
David Senseman,2526228583
Carlos Dorantes,2103691177
Joaquin Labrado,2222908230
Jacqueline Ortiz,2509736745
Omid Ghasemi,1946562918
Collin Lobb,1967890576
Carlos Paladini,2120408990
Adel Hussein,2126916261
Dongyi Li,2126001383
Gonzalo Parra,2223336173
Mario Flores,3018371012
A.S. Grimshaw,2798628983
Qi Lu,https://scholar.google.com/citations?hl=en&user=5471pIYAAAAJ
Jin Han,https://scholar.google.com/citations?hl=en&user=zckhCdwAAAAJ
Rifatul Islam,https://scholar.google.com/citations?hl=en&user=m7ICQWEAAAAJ
