Mohammed Atiquzzaman,2084220482_https://scholar.google.com/citations?hl=en&user=CPqBDqUAAAAJ
Obada Zoubi,2787907268
Kendrick Davis,2984622450
Hanqing Yang,2148261225
William Thompson,2633233974
Kyungwon Koh,2144754836
Alexander Malyscheff,721826340
Gerard Newman,2123853430
Keerti Banweer,2897561389
Kyran Mish,2283072933
Xiaojuan Hu,2102754955
Adnan Abu-Dayya,2932199193
W. Bidgood,2596554882
Usama Masood,3009574325
Charles John,3014273793
Muhammad Nabeel,3014319048
Mamta Yadav,2227436950
Rahul Shukla,2123505326
Daniel Wren,2074465384
R. Siatkowski,2946041146
Xiangming Zhang,2135022309
Samuel Osisanya,658902828
Hairong Song,2113287641
Matt McCord,2224091247
Xining Yu,2708513932
Shaila Miranda,2131183556
Sonya Wolff,2228784136
Michele Eodice,2086356949
Paulius Velesko,2564760531
Katherine Wong,2521505652
Tiffany Meyer,2786337790
Keri Kornelson,2009795181
Christian Remling,311455119
Amir Shaheen,2662363247
Scott Moses,2159049489
Saeed Salehi,2112506357
Sudantha Perera,2140326398
Junjun Hu,2110754609
Danielle Cain,2582397350
William Vieux,2515896931
Prakash Vedula,2164123616
Doo Lim,2525431446
Lloyd Hildebrand,2058252235
Pranav Mohan,2899403735
John Neely,2526496473
Ekasit Vorakitolan,41291226
Di Jin,2114807075
Mark Edwards,2331944268
O. Vortac,369110070
Gopal Racherla,75451149
Emre Yetgin,2046962804
Wen Gu,2128959983
Lei Yang,2511951883
khaled jabr,2886469476
Dianchao Liu,2225393363
Asaad Kaadan,1985580912
Jerry Brotzge,2043660258
Ahmad Mayeli,1981309333
Hazem Reafi,2542045291
Renee McPherson,2223372499
Zhenfei Tai,2102510023
Youngsun Jung,2138573597
S.V. Kartalopoulos,2973498013
Michael Wenger,2087632056
S. Calhoun,2227434589
Ankit Patel,2125107384
Susan Burke,2626780785
Jennifer Koch,2125230168
Nan Xu,2161279093
Peter Reid,2480661230
Chad Davis,2124925021
Tanner Blair,2231599826
Kevin Kloesel,2490971536
Md. Parwez,2290011289
A. Sierra,2142411668
Ke Liao,2154966048
Tianlin Wang,2973455223
V. Tadigotla,1996555481
Deepthi Gopi,2755374464
Yongi-Mi Kim,2662381342
Taras Basiuk,3024454936
Molly Donovan,2181634415
Chongle Pan,https://scholar.google.com/citations?hl=en&user=m2ORdeYAAAAJ
S Lakshmivarahan,https://scholar.google.com/citations?hl=en&user=SverXLoAAAAJ
Thomas Palmer,https://scholar.google.com/citations?hl=en&user=2Tqp4uQAAAAJ
Caleb Eggensperger,https://scholar.google.com/citations?hl=en&user=F4US_zMAAAAJ
