Elke Rundensteiner,2289414603_https://scholar.google.com/citations?hl=en&user=iIFHZ1UAAAAJ
Peder Pedersen,2152826982
Benjamin Hylak,2592346256
Tom Livak,2043337641
Andrew Trapp,2053869855
Dongqing Xiao,2082017289
Candy Sidner,1997595385
Clifford Lindsay,2267403955
Shadi Kalat,2231540130
Zhongfang Zhuang,2276855656
Nader Bargshady,271055930
Yousef Mahmoud,2152327035
Michael Elmes,2038984422
Stephen Nestinger,1253438641
Brian Murphy,2294472445
Vincenzo DiLuoffo,2799770215
Avani Shastri,2228719146
Allen Hoffman,2117099695
Han Wang,2308495317
Shiping Huang,2117460279
Elke Rundesnteiner,2223714488
Richard Sisson,2140908792
Terrence Turner,2121967494
Haitao Liu,2792178190
Christopher Donnelly,2581617637
Steven Olivieri,2229664333
Jianping Gong,2237426346
Changshuo Li,2594529322
Nishant Mehta,2304559919
Brad Pielech,2974235237
Raunak Borwankar,2547829401
James Duckworth,2118099828
Alex Helderman,2507495904
Edward Burnham,2509715846
Niang Thang,2514082929
Matthew Piazza,2518599517
Renato Iida,2372095556
Gregory Ratner,2227238229
William Lee,2805850518
Rui Lu,2304768361
Reinhold Ludwig,2280339819
Zaixian Xie,2125357541
Nicholas Alunni,1988148391
Marcus Sarkis,1974092241
Huong Higgins,1971277375
Yumeng Qiu,2397047636
Velin Dimitrov,2106515537
Cao Liang,2096201725
Andi Dhroso,1216628749
Haocheng Li,2232406710
G.E. Rosario,2687553015
Joshua Guttman,https://scholar.google.com/citations?hl=en&user=UgTnZDwAAAAJ
Kathi Fisler,https://scholar.google.com/citations?hl=en&user=ybnTsdMAAAAJ
Erin Solovey,https://scholar.google.com/citations?hl=en&user=d3Xr2dcAAAAJ
Micha Hofri,https://scholar.google.com/citations?hl=en&user=0I0Exl4AAAAJ
Lorenzo Carli,https://scholar.google.com/citations?hl=en&user=lFnZ7RkAAAAJ
Wafaa Almuhammadi,https://scholar.google.com/citations?hl=en&user=zwZAUBAAAAAJ
Chun-Kit Ngan,https://scholar.google.com/citations?hl=en&user=CaNoXysAAAAJ
Anand Ramakrishnan,https://scholar.google.com/citations?hl=en&user=RP0uzVkAAAAJ
Apiwat Ditthapron,https://scholar.google.com/citations?hl=en&user=d08AqsIAAAAJ
Sarun Paisarnsrisomsuk,https://scholar.google.com/citations?hl=en&user=Sow_NRwAAAAJ
Songlin Hou,https://scholar.google.com/citations?hl=en&user=sWVl1TgAAAAJ
Chiying Wang,https://scholar.google.com/citations?hl=en&user=rt5NbjYAAAAJ
