Wei Ding,2642987223_https://scholar.google.com/citations?hl=en&user=cQ5Ox-8AAAAJ
K.C. Kerby-Patel,2275847165
James Fallacara,2547369364
Brandon Wong,2547481925
Jordan Pappas,2547598146
Emanuel Tavares,2547875241
Diego Lopez,2618769940
Justin Yang,2778028745
Yan Luo,2604600266
Szymon Jaroszewicz,2575761995
Chandra Yelleswarapu,251605917
Charla Burnett,2898663767
J. Barkin,2016872610
K. Kerby-Patel,2536454568
Christian Chun,2119899881
Malcolm Simpson,2982449001
Kiersten Kerby-Patel,2982595953
Hien Dang,3011788624
Alfred Noël,2111332887
Aroon Manoharan,2154666295
Chi Lam,2782114150
Briana Mason,2742715502
Tiffany Donaldson,2745102724
Penelope Sibun,2603820244
Thais Payne,2992273301
Anne O'Bryan,2993364984
Juan Gutiérrez,2994199436
Lily Compton,2994610142
Rasheed Alhassan,2791981104
Karl Tgavalekos,2793654987
C. Lee,2735373539
Meghan Hendricksen,2899658655
Natalie Shellito,2901736183
Jessica Karch,2890904650
Wakhloo K,2933573939
Marosfoi Miklos,2933977280
Gounis Matthew,2934265354
Apurva Mehta,2223215166
Gregory Fischer,2805807878
Julie Pilitsis,2806234842
Kristen Billiar,2763203715
Arriyan Dowlatshahi,2904032756
Patricia Swierk,2944850552
Jacquelyne Ditroia,2945560999
Caroline Mazzola,2946003749
Andres Monterroso,2946162042
Synnöve Kekkonen-Moneta,2095389844
John Khan,2616412036
Miriam Madsen,2951158406
J. PaulCohen,2398626226
D. Boisvert,2973925141
Deepa Baby,2692280174
Géza Schay,2810515792
Alfred Hough,2429694336
Phirun Ra,2339983418
Mathias Klang,3007923647
Sindhura Sunkara,2342796031
Judelande Hyppolite,2344315459
A. Chaudhury,2660996232
Simon Tran,2659010267
Joanne Riley,2138184249
Suzanne Couture,2111438277
Dennis Maxey,2397008196
Oderra Jones,2506076888
Edna Pressler,2681855201
Meredith Hoy,2104358527
K. Nguyen,2973288502
D.A. Tran,2974542631
Chenfeng Zhang,2408785226
Mahalakshmi Ramamurthy,2439919496
Jr. Johnson,2951693819
Norilyz Figueroa,2331504806
Rakesh Kumar,2614476881
Megan Turilli,2000252500
Kristi Girdharry,2045116937
Arianne Baker,2135645215
Meesh McCarthy,2151026536
Rebecca Katz,2151765838
Jeff Coburn,2471702040
Maureen Scully,2149746663
Devulapalli Rao,2401534855
Y. Chait,2805489102
C. Radcliffe,2806663403
C. MacCluer,2823409777
Jeffrey Bretsch,2038878703
Deepak Rana,2914323956
Swami Iyer,https://scholar.google.com/citations?hl=en&user=zdmnT3sAAAAJ
rohith kotla,https://scholar.google.com/citations?hl=en&user=t-7xn4cAAAAJ
Yong Zhuang,https://scholar.google.com/citations?hl=en&user=ihsYqgwAAAAJ
Yi Cheng,https://scholar.google.com/citations?hl=en&user=eeC5T0QAAAAJ
Aldo Roa,https://scholar.google.com/citations?hl=en&user=yL3KPJMAAAAJ
