Mubarak Shah,2171354718_https://scholar.google.com/citations?hl=en&user=p8gsO3gAAAAJ
H. Ritter,2974711706
James Johnson,2135196481
Kyle Heyne,2017568651
Mostafa Bassiouni,2094934214
Liyue Zhao,2140073535_https://scholar.google.com/citations?hl=en&user=7vqFKwkAAAAJ
Rahmatollah Beheshti,2131797767
Saifuddin Saifuddin,2914024317
Linda Malone,1935828355
Z. Wang,2250670594
Guoqiang Wang,2305336146
Wei Sun,2790350064
Kuo-Chi Lin,2663187206
Min Hu,2687494480
Hassan Yazdani,2701462078
David Ambrosio,2107872998
Alexandra Rapaport,2012653149
Janet Milliez,2119983488
Paul Burke,2178452346
Juan He,2238525901
Xi Wang,2642658022
Kathleen Richardson,2116291716
Qipeng Zheng,2099375460
Neng Bai,2126413005
Seng Koh,2228497696
Hisham Alasmary,2799863623
Ahmet Akyüz,2973749837
Yifan Liu,2102849999
Steven Feldman,2039413787
Bing Chen,2716022055
Marianna Pensky,663255209
Wei Dai,2426557127
Michael Hoffman,2586679004
Sheau-Dong Lang,2776780370
Rickard Ewetz,2231787710
Alan Wright,2658803164
Jinchun Choi,2114109574
Marzieh Edraki,2798283320
Omar Nakhila,2227844267
Haiwei Chen,2167910979
R. Guha,2973625651
Mostafa Rahmani,2135805506
Leah Reeves,2116406149
Gabriela Marinescu,1969789764
Rodrigo Amezcua-Correa,2032124059
Junyao Zhang,2106636876
W. Phillips,2501965790
Mahmudur Khan,2580976391
V.R. Westmark,2553807312
Ning Yu,2230455095
Kevin Duarte,2804499986
Jinwei Liu,2259304119
Yan Solihin,271617281
Hao Hu,2431064401
Dwaipayan Chakraborty,2612113534
Yifan Ding,2787316701
Peter Smith,2239532046
Onur Ozyer,2284836353
Kaiqiang Song,2886062491
Fuyu Liu,2140641708
Fangwang Gou,2261381170
Michael Proctor,2102672510
E.A. Khan,2974653068
Kun Yin,2765115639
Yonggang Ha,2135885274
Guy Schiavone,2132602945
Pascal Gautron,3037179192
Jaakko Konttinen,2108399679
Varadraj Gurupur,2291418826
Su Xu,2151770291
Yun-Han Lee,2095912218
Mehrdad Salimitari,2773045861
Ivan Garibay,2065274332
Pierre LaBorde,1983329892
Yunjun Zhang,2713086580
Musawir Shah,2163692938
Andrew Sugaya,2394821066
Christian Jerome,2131888065
Huai Wei,2133731553
Amir Mazaheri,2533554908_https://scholar.google.com/citations?hl=en&user=va5oMPQAAAAJ
Faraz Hussain,2160110854
Hao Cheng,2125876469
Ahmed Abusnaina,2911857898
Kimberley Parsons,2282129670
Mohamed Abdel-Aty,686068644
Jennifer Vogel-Walcutt,2254121149
A. Yilma,2676762058
Mark Colbert,2466030461
Caicai Zhang,2799857763
Sumant Pattanaik,https://scholar.google.com/citations?hl=en&user=e2tGEjUAAAAJ
niels lobo,https://scholar.google.com/citations?hl=en&user=hjzQhbgAAAAJ
Charles Hughes,https://scholar.google.com/citations?hl=en&user=pbb9CG4AAAAJ
Ryan McMahan,https://scholar.google.com/citations?hl=en&user=inGtCcMAAAAJ
Mark Heinrich,https://scholar.google.com/citations?hl=en&user=ENsrFlsAAAAJ
Wei Zhang,https://scholar.google.com/citations?hl=en&user=Zcd7W2sAAAAJ
Astrid Jackson,https://scholar.google.com/citations?hl=en&user=7CbuRAQAAAAJ
Pooya Abolghasemi,https://scholar.google.com/citations?hl=en&user=8ZmsIzAAAAAJ
Tanvir Ahmed,https://scholar.google.com/citations?hl=en&user=Up09JX0AAAAJ
Alec Moore,https://scholar.google.com/citations?hl=en&user=Xnrf710AAAAJ
Amirfarhad Nilizadeh,https://scholar.google.com/citations?hl=en&user=Rr--QigAAAAJ
Ciro León,https://scholar.google.com/citations?hl=en&user=9087VLsAAAAJ
Kutalmış Akpınar,https://scholar.google.com/citations?hl=en&user=ohuuUSoAAAAJ
Taranjeet Bhatia,https://scholar.google.com/citations?hl=en&user=_Qw-n2EAAAAJ
Marjaneh Safaei,https://scholar.google.com/citations?hl=en&user=ErVK018AAAAJ
Jiao Sun,https://scholar.google.com/citations?hl=en&user=KlKCp64AAAAJ
Sansiri Tarnpradab,https://scholar.google.com/citations?hl=en&user=QnaK948AAAAJ
Pooyan Balouchian,https://scholar.google.com/citations?hl=en&user=u_V7jp4AAAAJ
Amanda Quesada,https://scholar.google.com/citations?hl=en&user=BUczoTEAAAAJ
Mesut Ozdag,https://scholar.google.com/citations?hl=en&user=T98wKwcAAAAJ
Berk Cetinsaya,https://scholar.google.com/citations?hl=en&user=dGv4qP8AAAAJ
Irina Lediaeva,https://scholar.google.com/citations?hl=en&user=HKrlo5EAAAAJ
Juan Echeverria,https://scholar.google.com/citations?hl=en&user=y5s7Bj8AAAAJ
