David Maier,2064546257_https://scholar.google.com/citations?hl=en&user=80pKMyMAAAAJ
Bernd Steinbach,2798384910
Sean Larsen,2154800157
R. Tarman,2514421204
Jennifer Dill,2733161777
George Ogden,2140835832
Joan Petit,2564418821
Ryan Price,2103875678
Naveen Velamati,2223195737
Robert Daasch,2678629311
D. Li,2107018430
Miles Histand,2227149279
Joshua Hughes,2230472120
S. Vasupongayya,3039139954
Noshad Rahimi,2232367538
Rose Jackson,2135016623
Jay Gopalakrishnan,2159764906
Jeffrey Ovall,2286240237
R.P. Turakhia,2974798345
Sarah Read,2160482417
A. Bhutada,2006176149
Mathias Sunardi,230013261
Todd Bodner,1925667195
Sung Yi,2143189744
M. Helliwell,2078872389
Jocelyn Duffy,2128958361
Fatima Albar,2068384846
Jason Anderson,2951602023
Christopher Monsere,2227845387
Satya Vendra,2773149562
Ellie Harmon,https://scholar.google.com/citations?hl=en&user=Xmx5xkUAAAAJ
Wilfred Pinfold,https://scholar.google.com/citations?hl=en&user=rvQNIjoAAAAJ
